Word,Sub_Type,Type2,Type3,fear citizens  
(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) bürger(s|innen|in)?,sorgen der menschen,advocative,people-centrism,fear Germans  
(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) deutschen,sorgen der menschen,advocative,people-centrism,fear Austrians  
(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) österreicher(s|innen|in)?,sorgen der menschen,advocative,people-centrism,fear Swiss  
aberwitz(ig(e|er|es|en|em)?)?,zzz_none,conflictive,anti-elitism,nonsensical  
abgehoben(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,aloof  
alt(-)?partei(en)?,zzz_none,conflictive,anti-elitism,old party  
angeblich(e|er|en|em)? (.* )?journalist(en|in|innen)?,pseudo-eliten,conflictive,anti-elitism,alleged journalist  
angeblich(e|er|en)? (.*)medien,pseudo-eliten,conflictive,anti-elitism,alleged media  
angeblich(e|er|en)? (.*)partei(en)?,pseudo-eliten,conflictive,anti-elitism,alleged party  
anma(ß|ss)end(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogantly  
anti(-)?demokratisch(e|er|es|en|em)? ,diktatorische eliten,conflictive,anti-elitism,anti-democratic  
apparatschik(s)?,zzz_none,conflictive,anti-elitism,apparatchiks  
(.*)arbeitend(e|er|en) bevölkerung,arbeitende menschen,advocative,people-centrism,working population  
(.*)arbeitend(e|er|en|em) bürger(s|n|innen|in)?,arbeitende menschen,advocative,people-centrism,working citizen  
(.*)arbeitend(e|er|en|em) deutsche(n|r)?,arbeitende menschen,advocative,people-centrism,working German  
(.*)arbeitend(e|er|en|em) österreicher(s|n|innen|in)?,arbeitende menschen,advocative,people-centrism,working Austrian  
(.*)arbeitend(e|er|en|em) schweizer(s|n|innen|in)?,arbeitende menschen,advocative,people-centrism,working Swiss  
arrogant(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant
arroganz,zzz_none,conflictive,anti-elitism,arrogance  
auf kosten der allgemeinheit,auf kosten der menschen,conflictive,anti-elitism,at the expense of the public  
auf kosten de(s|r) beschäftigten,auf kosten der menschen,conflictive,anti-elitism,at the expense of the employees  
auf kosten de(s|r) bürger(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism,at the expense of the citizens  
